"id"	"geneNum"	"description"	"gene"
"sce00513"	31	"Various types of N-glycan biosynthesis"	"YBL082C,YBR015C,YBR070C,YBR110W,YDL232W,YDR245W,YEL002C,YEL036C,YER001W,YGL022W,YGL038C,YGL047W,YGL065C,YGL226C-A,YJL002C,YJL183W,YJL186W,YJR075W,YJR131W,YLR057W,YML019W,YML115C,YMR149W,YNL048W,YNL219C,YNR030W,YNR059W,YOR085W,YOR103C,YPL050C,YPL053C"
"sce00514"	14	"Other types of O-glycan biosynthesis"	"YAL023C,YBR205W,YDL093W,YDL095W,YDR307W,YDR483W,YER001W,YGL257C,YGR199W,YIL014W,YJR143C,YNR059W,YOR099W,YOR321W"
"sce00515"	7	"Mannose type O-glycan biosynthesis"	"YAL023C,YDL093W,YDL095W,YDR307W,YGR199W,YJR143C,YOR321W"
"sce00520"	34	"Amino sugar and nucleotide sugar metabolism"	"YBR018C,YBR019C,YBR020W,YBR023C,YBR038W,YBR196C,YCL040W,YDL055C,YDL103C,YDR009W,YDR371W,YDR516C,YEL058W,YER003C,YFL017C,YFL045C,YFR053C,YGL253W,YHL012W,YIL043C,YKL035W,YKL104C,YKL127W,YKL150W,YLR286C,YLR307W,YLR308W,YLR446W,YML087C,YML125C,YMR084W,YMR105C,YMR278W,YNL192W"
"sce00561"	32	"Glycerolipid metabolism"	"YBL011W,YCR068W,YCR105W,YDL052C,YDR058C,YDR284C,YDR503C,YER037W,YER062C,YER073W,YFL053W,YGR205W,YHL032C,YIL053W,YKL094W,YKR067W,YKR089C,YML070W,YMR110C,YMR165C,YMR169C,YMR170C,YMR313C,YMR318C,YNR008W,YOR081C,YOR120W,YOR175C,YOR245C,YOR374W,YPL061W,YPR139C"
"sce00562"	21	"Inositol phosphate metabolism"	"YDR050C,YDR173C,YDR208W,YDR287W,YDR315C,YFR019W,YHR046C,YIL002C,YJL100W,YJL153C,YJR110W,YKL212W,YLR240W,YLR305C,YNL106C,YNL128W,YNL267W,YNL325C,YOR109W,YPL268W,YPR113W"
"sce00563"	25	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"YBR004C,YCL052C,YDR182W,YDR302W,YDR331W,YDR434W,YDR437W,YFL025C,YGL142C,YGR216C,YHR188C,YJL062W,YJL091C,YJL132W,YJR013W,YKL165C,YLL031C,YLR088W,YLR459W,YMR281W,YNL038W,YOR149C,YPL076W,YPL096C-A,YPL175W"
"sce00564"	40	"Glycerophospholipid metabolism"	"YBL011W,YBR029C,YCL004W,YDL022W,YDL052C,YDL142C,YDR147W,YDR284C,YDR503C,YER026C,YGR007W,YGR110W,YGR157W,YGR170W,YGR202C,YHR100C,YHR123W,YIL124W,YIL155C,YJR073C,YKR031C,YKR067W,YKR089C,YLR133W,YML059C,YMR006C,YMR008C,YMR165C,YNL130C,YNL169C,YOL011W,YOL059W,YOR081C,YOR175C,YOR311C,YPL110C,YPL206C,YPR113W,YPR139C,YPR140W"
"sce00565"	8	"Ether lipid metabolism"	"YHR123W,YIL124W,YKR031C,YKR089C,YNL130C,YOR081C,YOR175C,YOR269W"
"sce00590"	3	"Arachidonic acid metabolism"	"YKR089C,YNL045W,YOR081C"
"sce00592"	4	"alpha-Linolenic acid metabolism"	"YGL205W,YIL160C,YKR089C,YOR081C"
"sce00600"	14	"Sphingolipid metabolism"	"YBR183W,YBR265W,YDR062W,YDR294C,YDR297W,YER019W,YHL003C,YJL134W,YKL008C,YKR053C,YLR260W,YMR296C,YOR171C,YPL087W"
"sce00620"	52	"Pyruvate metabolism"	"YAL038W,YAL054C,YBL015W,YBR145W,YBR218C,YBR221C,YCR105W,YDL078C,YDL131W,YDL168W,YDL174C,YDL178W,YDL182W,YDR272W,YDR533C,YEL071W,YER073W,YER178W,YFL018C,YGL062W,YGL256W,YIR031C,YKL029C,YKL085W,YKR097W,YLR153C,YML004C,YML054C,YMR083W,YMR110C,YMR169C,YMR170C,YMR207C,YMR303C,YMR318C,YMR322C,YNL071W,YNL104C,YNL117W,YNR016C,YOL086C,YOL126C,YOL151W,YOR040W,YOR108W,YOR347C,YOR374W,YOR391C,YPL028W,YPL061W,YPL262W,YPL280W"
"sce00630"	29	"Glyoxylate and dicarboxylate metabolism"	"YAL044C,YAL054C,YBR222C,YBR263W,YCR005C,YDL078C,YDR019C,YDR256C,YDR428C,YER065C,YFL018C,YFL030W,YGR088W,YGR205W,YIR031C,YKL085W,YLR058C,YLR153C,YLR304C,YMR189W,YNL117W,YNL274C,YNR001C,YOL126C,YOR388C,YPL028W,YPR001W,YPR006C,YPR035W"
"sce00640"	13	"Propanoate metabolism"	"YAL054C,YDR036C,YFL018C,YGL205W,YGR019W,YGR244C,YKR009C,YLR153C,YMR207C,YNR016C,YOL151W,YOR142W,YPR002W"
"sce00650"	9	"Butanoate metabolism"	"YAL060W,YAL061W,YBR006W,YCL009C,YGR019W,YML126C,YMR108W,YMR250W,YPL028W"
"sce00660"	3	"C5-Branched dibasic acid metabolism"	"YCL009C,YCL018W,YMR108W"
"sce00670"	15	"One carbon pool by folate"	"YBL013W,YBR084W,YBR263W,YDR019C,YDR408C,YER183C,YGL125W,YGR204W,YKR080W,YLR028C,YLR058C,YMR120C,YOR074C,YOR236W,YPL023C"
"sce00680"	26	"Methane metabolism"	"YAL054C,YBR263W,YDL021W,YDL168W,YER081W,YFL030W,YFL053W,YGR208W,YGR240C,YGR254W,YHR174W,YIL074C,YJL068C,YKL060C,YKL152C,YLR058C,YLR153C,YLR377C,YML070W,YMR205C,YMR323W,YOL056W,YOR184W,YOR388C,YOR393W,YPL281C"
"sce00730"	18	"Thiamine metabolism"	"YAR071W,YBR092C,YBR093C,YCL017C,YDL024C,YDL244W,YDR226W,YDR481C,YFL058W,YGR144W,YHR215W,YJR156C,YNL332W,YOL055C,YOR143C,YPL214C,YPL258C,YPR073C"
"sce00740"	16	"Riboflavin metabolism"	"YAR071W,YBL033C,YBR092C,YBR093C,YBR111C,YBR153W,YBR256C,YDL024C,YDL045C,YDR236C,YDR487C,YDR538W,YHR215W,YOL066C,YOL143C,YPR073C"
"sce00750"	13	"Vitamin B6 metabolism"	"YBR035C,YCR053W,YEL029C,YFL059W,YFL060C,YGR017W,YMR095C,YMR096W,YNL333W,YNL334C,YNR027W,YOR184W,YPR127W"
