Data,Dim,Max_ACF,Max_Lag
H4K5ac,1,0.88593368689542,-4.260000000000001
H4K5ac,2,0.8992749513185224,-4.74
H4K16ac,1,-0.6141870701594488,-0.48
H4K16ac,2,0.7758782570758944,0
H3K4me3,1,0.7788393123418739,11.64
H3K4me3,2,-0.7070346980309408,-60
H3K9ac,1,0.9535666668507213,-3.36
H3K9ac,2,0.8962834963017515,-2.94
H3K14ac,1,0.9197836742603167,-4.92
H3K14ac,2,0.48287299065115574,43.379999999999995
H3K18ac,1,0.9820413571507371,-3.3
H3K18ac,2,0.9518069875352863,-4.92
H3K36me3,1,-0.5549273205216385,-60
H3K36me3,2,-0.49670776514515924,-36.78
H3K56ac,1,0.7567646596876328,44.46
H3K56ac,2,-0.7925730830320236,-27.240000000000002
H4K5ac,1,0.8765958188654022,-4.2
H4K5ac,2,0.9092792797231826,-3.5999999999999996
H4K16ac,1,-0.6223787703646386,-1.56
H4K16ac,2,0.7404040053314885,0
H3K4me3,1,0.7902866471003873,9.48
H3K4me3,2,0.676256620375971,22.02
H3K9ac,1,0.9693510736450172,-4.32
H3K9ac,2,0.887177408754725,-2.82
H3K14ac,1,0.9137130552813733,-5.82
H3K14ac,2,0.4417716326682623,45.9
H3K18ac,1,0.9751731562035449,-3.42
H3K18ac,2,0.9565473127489844,-4.2
H3K36me3,1,-0.5560400173016814,-28.14
H3K36me3,2,0.42106189642234326,60
H3K56ac,1,0.7521234289229979,41.64
H3K56ac,2,0.7817328484659463,50.64
H4K5ac,1,0.8912841796360536,-3.2399999999999998
H4K5ac,2,0.9117124548317366,-1.5
H4K16ac,1,-0.590902103745447,-1.38
H4K16ac,2,0.7931661892526729,0
H3K4me3,1,0.7143421858642234,9.84
H3K4me3,2,-0.6733569077206837,-60
H3K9ac,1,0.9696346301902938,-3.2399999999999998
H3K9ac,2,0.8836922127907687,-3.96
H3K14ac,1,0.9231212752592278,-4.86
H3K14ac,2,0.4278500638325156,45.3
H3K18ac,1,0.9644794369428118,-3.36
H3K18ac,2,0.962139141384224,-4.68
H3K36me3,1,-0.5833231520667925,-29.58
H3K36me3,2,-0.45411221419643494,-35.339999999999996
H3K56ac,1,0.7217948011933496,42.18000000000001
H3K56ac,2,0.7528901565790093,52.019999999999996
H4K5ac,1,0.8886087056434431,-4.260000000000001
H4K5ac,2,0.9250869328178205,-3.1799999999999997
H4K16ac,1,-0.5756025878601483,-2.76
H4K16ac,2,0.7296393181017115,0
H3K4me3,1,0.8111844519876122,10.92
H3K4me3,2,-0.6393833363928352,-60
H3K9ac,1,0.9516846930524983,-4.32
H3K9ac,2,0.8964108560340281,-3.2399999999999998
H3K14ac,1,0.9366889366420126,-4.8
H3K14ac,2,0.4504647627603509,47.34
H3K18ac,1,0.9805030543361283,-3.36
H3K18ac,2,0.9573939502591438,-2.76
H3K36me3,1,-0.545828276037265,-29.4
H3K36me3,2,-0.5335456955514956,-38.46
H3K56ac,1,0.7412089985920475,44.46
H3K56ac,2,-0.7803203108173714,-30.78
H4K5ac,1,0.8727796961318253,-3.54
H4K5ac,2,0.9200364740358629,-4.56
H4K16ac,1,-0.5342409536545705,-0.78
H4K16ac,2,0.784300303716167,0
H3K4me3,1,0.7731312400804928,11.88
H3K4me3,2,0.6568088498510993,20.700000000000003
H3K9ac,1,0.9460445058056447,-4.2
H3K9ac,2,0.916386615405659,-2.76
H3K14ac,1,0.9416855216229745,-5.220000000000001
H3K14ac,2,0.5153962990300168,43.92
H3K18ac,1,0.960756782569256,-3.9000000000000004
H3K18ac,2,0.9700718480574032,-2.82
H3K36me3,1,-0.5347258410888032,-60
H3K36me3,2,0.46058060107019233,60
H3K56ac,1,0.7141608140602653,42.839999999999996
H3K56ac,2,-0.7855875969395144,-30.66
H4K5ac,1,0.8701635221025885,-4.4399999999999995
H4K5ac,2,0.9269313670951542,-1.68
H4K16ac,1,-0.6243592039109942,-2.28
H4K16ac,2,0.7108428865914941,0
H3K4me3,1,0.8194618318533294,8.46
H3K4me3,2,0.6505920972141772,18.72
H3K9ac,1,0.9678746291014768,-3.06
H3K9ac,2,0.8894960852621012,-4.260000000000001
H3K14ac,1,0.9373464952850636,-4.56
H3K14ac,2,0.4650950276082703,46.32
H3K18ac,1,0.962695868608237,-2.52
H3K18ac,2,0.963740193922857,-2.4
H3K36me3,1,-0.5484216114526457,-60
H3K36me3,2,-0.528009028301322,-35.28
H3K56ac,1,0.7064129798121046,42.96
H3K56ac,2,0.7777994975740053,49.800000000000004
H4K5ac,1,0.9068960054579791,-3.7199999999999998
H4K5ac,2,0.914778975458566,-1.8599999999999999
H4K16ac,1,-0.6377862557531091,-2.4
H4K16ac,2,0.7412018707096264,0
H3K4me3,1,0.8102178721091097,10.74
H3K4me3,2,0.7000938519139877,21.000000000000004
H3K9ac,1,0.9387971810494603,-3.9000000000000004
H3K9ac,2,0.8755335186212878,-3.5999999999999996
H3K14ac,1,0.9244990312989463,-4.32
H3K14ac,2,0.43240919166770847,48.36
H3K18ac,1,0.9859503175015499,-2.76
H3K18ac,2,0.9646513685888068,-3.48
H3K36me3,1,-0.5938360905622133,-28.380000000000003
H3K36me3,2,-0.5098521605770049,-36.3
H3K56ac,1,0.7342243177407456,41.160000000000004
H3K56ac,2,-0.7636044033244008,-29.16
H4K5ac,1,0.9003519759205008,-3.84
