Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36
YLR295C,11.204191,10.991496,10.984938,10.8011591,10.498667,10.107752999999999,10.192929,10.068422,9.314169999999999,10.952656,11.15979,11.174323999999999,11.121077999999999,11.050421,10.915512,10.696126,10.172836,10.336151,10.36603,10.054318,10.8288409,10.988602,11.048423999999999,11.020522999999999,10.942756,10.7731935,10.590048,10.534815,10.207726,10.567618999999999,10.45144,9.72681,11.090187,11.090119999999999,11.073820999999999,11.062883
YLR296W,11.387379999999999,11.160667499999999,11.122570799999998,11.09869,11.099596,11.1167413,11.087992999999999,11.128840899999998,11.1926122,11.358256999999998,11.504767,11.648494999999999,11.478145999999999,11.21307613,11.114869599999999,10.980656999999999,11.035872999999999,11.013122999999998,11.082808,11.1134949,11.477252,11.3008501,11.312572,11.443532,11.2583086,11.1113272,11.253920999999998,11.197723869999999,11.188899999999999,11.326258999999999,11.274329799999999,11.163966899999998,11.478587,11.294602,11.397414999999999,11.336780999999998
YLR297W,10.834002,11.649178,11.46960884813,11.749373,11.807242,12.077887,11.898292999999999,11.5409317,10.543103,11.014088,10.759473,10.812827,11.079145,11.620208,11.4969467,11.301482,11.95902,12.115439,12.06021,11.161614,11.005334,11.227323,10.878681,10.945178,11.332014,11.5321642,11.651024,11.851656,11.947829,11.88991,11.93165,11.060528999999999,11.345604,11.46959115187,11.199068,10.920868
YLR298C,6.55851,6.7146117,6.7020181999999995,6.7217057,6.623372,6.8184558,6.622332,6.76876622,6.8299493,6.390684,6.6948389,7.033518,6.527933,6.905247,6.882546,6.7495844,6.906503,7.154218,6.7617302,7.12095,6.6748924999999995,6.7087601,6.727408,6.891667,6.632785999999999,6.7163696,6.76479378,6.946867,7.023025,6.7953659,6.8144174,7.125332,6.61247,6.8636553,6.9348209999999995,6.7959381
YLR299W,7.1445940000000006,7.084698,6.67084,6.911398,6.8633834,6.833458,6.7127110000000005,6.9229231,5.74634,7.101699,6.636729000000001,6.844713400000001,7.242825000000001,7.017825,6.871399500000001,6.768713,6.842518200000001,6.898920690000001,6.89560244,7.018452,7.236638,7.013021,6.89163394,7.0171090000000005,7.107035000000001,6.993570200000001,6.8032943,6.8753755000000005,6.7321990000000005,6.775265,6.8072312,6.89605931,7.502937,7.023344000000001,6.900617710000001,6.9300055
YLR300W,6.423779,6.855167,7.517108,7.1339805,7.187959,6.759869,6.149569,6.7583470000000005,6.627162,7.221236,7.93197,7.796938,6.419843,7.528179,7.279675,6.9982649,7.0169993,6.767276,6.611706,7.524078,6.509789,7.486237,7.733355,7.520421,6.4717080000000005,7.0977207,7.173733,6.928051,6.9245280000000005,6.672872,6.689876,7.661031,6.560562,7.667295,7.744812,7.56736
YLR301W,7.312223,6.832809,6.963913,6.923103,6.813173,6.880683,6.732378,7.1257376,6.389958,6.892496,7.126778,7.679962,7.108806,7.0862753000000005,7.0711766,6.959431,7.1239874,7.264372,7.0222215,7.415297,6.855758,7.0448894,7.1868145,7.330138,7.1156659,6.708072,6.955533,7.1092426,7.1570732,7.0755103,7.1066647,7.318167,6.862749,7.1903415,7.414756,7.378335
YLR302C,6.6768706,6.72578792,6.744802,6.716216514,6.614793000000001,6.730754,6.7372803,6.71351429,6.6981205,6.7809065,6.64557,6.7066673,6.770697500000001,6.7626736,6.7389999000000005,6.71212969,6.747967200000001,6.6883808,6.730702900000001,6.645015000000001,6.6743761,6.6906781,6.729495,6.70877951,6.716215151,6.7323167,6.7470277,6.717463486000001,6.71050866,6.7618606,6.72120093,6.710712030000001,6.7608424000000005,6.7385962,6.6871643,6.6401947
YLR303W,7.765486,6.788175,7.3915776,7.4041527,7.5399609000000005,7.4048843,7.272207,7.186889,7.007122,7.871489,8.05008,7.914396,7.710106000000001,6.851527,7.287736,7.235763,7.3713310000000005,7.417724,7.4839596,7.610883,7.761444,7.603821,7.779496,7.7154300000000005,7.672136,6.883703000000001,7.271946,7.289045,7.295263,7.421832,7.458508,7.3663557,7.861918,7.655953,7.803948,7.685596
YLR304C,7.491384999999999,7.304836,7.158734,6.9390858,6.982829,6.9660227,6.631596999999999,6.383737,4.867419999999999,7.360967,7.603102,7.33059,7.507058,7.366451,6.9499534,7.1051853,6.9429862,6.842385999999999,6.82194,6.1364149999999995,6.8175419999999995,7.409985,7.3496429999999995,7.377059,7.494155999999999,7.063591,6.872611,6.77456,6.672308,6.811789,6.692766,5.28533,7.4545319999999995,7.4264399999999995,7.35075,7.402003
YLR305C,7.0298034,6.9122959,6.7133519999999995,6.9294666,6.8862536,7.068004,6.850368,6.9032274,6.816086,6.832221,7.0031871,7.287541,6.95438393,6.8646389,6.8739243,6.9456819,6.774672,7.305651,6.9834426999999994,7.0516866,6.9324611,7.322818,7.1667819999999995,7.231409,6.9375732,6.665023,6.7385589999999995,7.0489683,7.0532056999999995,6.9679173599999995,7.0033683,7.279465,6.95612264,7.293229,7.223987,7.205401999999999
