Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
nicotinamide(123/80),-11.28253214044377,-10.969560975407571,-11.07349810196234,-11.07071321698322,-11.165575277061402,-11.071394472622686,-11.261995209441075,-10.93631737572142,-11.235695421781836,-10.803084608085532,-10.946095949739975,-10.638456202032135,-10.88532726036049,-10.843663793611537,-10.982435525212251,-11.016565327928335,-10.949456114758087,-10.828280760912152,-11.059314975387673,-10.645311742318796,-10.891889013269154,-10.856596672257032,-10.698938264878274,-10.565981299078404
nicotinamide(123/78),-13.102872704095853,-12.982857798021028,-12.706213734131865,-12.830239613950209,-12.61507436048744,-12.77313920671969,-12.748441969521162,-12.665079460862238,-12.963767939063583,-12.699026792785576,-12.67008368990797,-12.265344566520994,-12.444437883236903,-12.522177633186471,-12.783821489475612,-12.69194312387171,-12.488759898487542,-12.759974747521243,-12.5402544115656,-12.132681593406831,-12.391391025651119,-12.478936782792218,-12.710403451371729,-12.388114276507286
arginine(175/70)A,-4.357593944036999,-4.433145573485912,-4.297928775592586,-4.42641298441001,-4.470026733876496,-4.490844571268759,-4.539300258732135,-4.446554749401107,-4.4121859548502655,-4.346985552479,-4.344139373977521,-4.282348086912676,-4.3588997286916715,-4.438858421418786,-4.4118135984045574,-4.570792727585001,-4.581967803141679,-4.64627885204158,-4.774344791654551,-4.618804817719357,-4.678413411811094,-4.460474907852985,-4.380056225397688,-4.3317758808437095
arginine(175/116)A,-5.905214017801135,-5.9590133266846514,-5.832517753798623,-5.932813940673993,-6.047211884005933,-6.048840024389645,-6.055753981523001,-5.965784284662087,-5.942700671549046,-5.887907492240946,-5.9008918549870755,-5.773736472321635,-5.926138480201797,-5.8351187136670015,-5.8914811562861145,-6.071438942372682,-6.096861539252589,-6.18354461073144,-6.305687453880151,-6.170292613889425,-6.168218679491909,-5.974501501763196,-5.944123501807494,-5.877744249949002
histidine(156/110)A,-7.430599344965989,-7.300371951520915,-7.074490544104587,-7.078793246491274,-7.18122923197762,-7.048840024389645,-7.200804314326285,-6.953400560206255,-7.025162831741019,-7.100901215575144,-7.260727938450625,-7.2543623132280555,-7.421960478734418,-7.176524183053668,-7.005043715109315,-7.169175744068479,-7.169175744068479,-7.242438299785008,-7.284313803087585,-7.019613701391757,-7.067455702556993,-7.01889562112165,-7.210556484103153,-7.276713380600192
histidine(156/83)A,-9.578267848147147,-9.471520094232668,-9.186626254435135,-9.184065289591333,-9.328982852421312,-9.154112067489704,-9.286534188352169,-9.021572062847834,-9.122967617212817,-9.35869897304279,-9.334809386184094,-9.384010061571978,-9.612903261445812,-9.4434858187231,-9.207672881624331,-9.284203593772311,-9.438154959006882,-9.49845227794103,-9.377800431965694,-9.172942192303374,-9.227112368545479,-9.150999157128995,-9.312037801969037,-9.41726377990899
isoleucine(132/69),-8.451730160242636,-8.471628068265641,-8.171836021155633,-8.341875503700415,-8.20728552894624,-8.21314362151511,-8.183858549404846,-8.306439587618355,-8.31508398669933,-8.74819284958946,-8.7230828809253,-8.873027143742235,-8.965784284662087,-8.306620842099514,-8.21352703854329,-8.126248956855333,-8.163464952501782,-8.033471092173661,-7.9526806973879065,-8.132681593406831,-8.196537627912951,-8.331912183459984,-8.589917382663922,-8.757314239558008
phenylalanine(166/120),-5.968381396148126,-6.0746955451764615,-6.262951375415026,-6.186383424175484,-6.315434332801862,-6.409390936137702,-6.303365643860935,-6.335733894412392,-6.536940985858212,-6.700887134811103,-6.794636141950334,-6.713118852211839,-6.455194625750827,-6.210896782498619,-6.289191308475362,-6.272873870573816,-6.310246289839727,-6.442222328605074,-6.456486053873003,-6.319505432620507,-6.665072675684421,-6.556978739094758,-6.7384930639128005,-6.731319031025064
phenylalanine(166/103),-7.225190571002941,-7.3589859827004585,-7.5339785720023515,-7.510273035396133,-7.615925257026933,-7.731319031025064,-7.559204548290525,-7.680969362791824,-7.894434440729291,-7.9190198173261654,-8.128842566616132,-8.049904905826313,-7.767844907050178,-7.553002759323611,-7.629735081530072,-7.615925257026933,-7.6252104369773255,-7.82555096815658,-7.728426012928689,-7.643856189774724,-7.896398221790876,-7.883598529306842,-8.0726994885786,-8.008853006553974
proline(116/70),-6.0485517448321096,-6.146356530303908,-6.0762967353150135,-6.023444853049279,-6.033802708090738,-6.007292492566356,-5.955442340440628,-6.074241653387005,-5.64890941750101,-5.718445506195408,-5.825530149896117,-5.992804498595796,-6.146356530303908,-6.24696603720614,-6.217041522719527,-6.084428781160706,-5.971660850998757,-6.075013354416845,-5.928107081518214,-6.1040457254459435,-5.834997677126733,-5.566377437097008,-5.800957150859453,-5.93876111089554
proline(116/69),-9.780944609208492,-9.892255249240122,-9.727173352767512,-9.783945961676274,-9.699138625275914,-9.762569965009504,-9.718403143139778,-9.74339186332564,-9.404556432733292,-9.384554502817261,-9.53160173611654,-9.652901329377732,-9.80531961246884,-9.91847856988373,-9.896521622224974,-9.754280179468376,-9.689130269539165,-9.753733807547098,-9.662936931340429,-9.929864710407145,-9.509227515944977,-9.306489586580078,-9.443218321078797,-9.660929703133666
serine(106/60),-8.981437548973572,-9.268975816967863,-9.27737043532799,-9.205324987828945,-9.384442099619628,-9.25327173422042,-9.165862120111,-9.129283016944967,-8.212766285210515,-8.269652408004458,-8.38449744208433,-8.535331732996555,-9.195266130784855,-9.272762038083478,-9.311559121503818,-9.327579762663952,-9.315841752733247,-9.50635266602479,-9.349570849956491,-9.260689205782903,-8.234093632536554,-8.269176428112022,-8.475458658079006,-8.434337293267932
tyrosine(182/136),-8.05681936081571,-8.186998514801253,-8.06235754435714,-8.118984138889898,-8.249577250662679,-8.329220587453719,-8.04306620574838,-8.225387785095608,-8.4603197042553,-8.710224999390439,-8.906450145279685,-8.732164607902385,-8.442222328605075,-8.151575691563421,-8.047898681795635,-8.153787980453615,-8.268053853778982,-8.421463768438276,-8.26291646770231,-8.059702148049725,-8.28902930802144,-8.438334242596138,-8.704659468836924,-8.746859881920843
tyrosine(182/91),-8.384285639244503,-8.304308890080144,-8.287063831531835,-8.377237446591892,-8.443637892127528,-8.612674534526445,-8.32650214265887,-8.411682747645692,-8.582623801185239,-8.900195943034511,-9.135021141545257,-8.86775220170156,-8.673868758841165,-8.353038627427393,-8.289191308475363,-8.362855237411482,-8.477846238335795,-8.550746785383243,-8.497762329451522,-8.242216545711424,-8.471359330354533,-8.6944822628446925,-9.012326870599118,-8.929864710407145
leucine(132/44),-8.714037950578376,-9.189749125817288,-8.808600952111357,-8.960411112563236,-8.777892736690326,-8.705783938917927,-8.753808479270978,-8.893215658711442,-8.559601583269385,-8.87372373167332,-8.960288296907235,-9.158429362604483,-9.318537505686589,-8.878321443411748,-8.731614695549286,-8.586438492526552,-8.758551670496646,-8.60121185236623,-8.456486053873004,-8.731319031025064,-8.409180339094647,-8.534668577369668,-8.676277667467103,-8.906405737583155
glutamate(148/84),-2.607979153446128,-2.317221092209835,-2.2168674934127646,-2.213091602844456,-2.22746341088387,-2.22806117142314,-2.286051058558766,-2.2170589770334073,-2.3320523121610695,-2.5066068630197016,-2.554451196504508,-2.476438043942987,-2.4436066514756147,-2.286304185156641,-2.2192424309127983,-2.148391839892671,-2.1983534097688295,-2.2064508774674265,-2.2056410570471234,-2.1778268689030034,-2.4657638674610136,-2.3470190758501928,-2.4412270232597066,-2.4618583560318372
glutamate(148/130),-3.7543686404276513,-3.5349218182215605,-3.452184480838704,-3.4338209749582598,-3.411426245726465,-3.4353861446706464,-3.49835466227163,-3.4537179674429037,-3.539284926326512,-3.689299160535892,-3.8022978436584003,-3.741481075288699,-3.667923949736555,-3.487351704094734,-3.4197754182855067,-3.3437875288511014,-3.40646160509903,-3.434402824145775,-3.4426802543479726,-3.4223299918451997,-3.678493191446742,-3.5710998473394104,-3.712743492500891,-3.6744878084283883
tryptophan(205/188),-8.692407934606834,-8.699610171297726,-8.692407934606834,-8.74647125625761,-8.801898199701116,-8.843793760283477,-8.714037950578376,-8.6392834599849,-8.768103616822392,-8.999731616585425,-9.1854260949825,-9.126580496565143,-8.853574781076063,-8.779917739350752,-8.751863379393091,-8.721858701775998,-8.908298790001327,-8.953811642996012,-8.92426501522382,-8.589139020065655,-8.680112075148562,-8.796965220445944,-9.0726994885786,-9.11240919838057
tryptophan(205/146),-9.419389440200419,-9.508926609688617,-9.384285639244503,-9.43941643785178,-9.43610421944212,-9.575199829107783,-9.405245257880148,-9.292012516983075,-9.364104388995997,-9.664128584800986,-9.819298196184603,-9.77595972578207,-9.59381550727513,-9.372828993187401,-9.380821783940931,-9.362855237411482,-9.515981367222567,-9.643856189774725,-9.662936931340429,-9.216745858195306,-9.308928865459146,-9.591104522999384,-9.87697501770423,-9.82717904643258
valine(118/72)A,-4.817455512026574,-4.911551972978382,-5.049615875465558,-4.9059027865724,-4.809115379922042,-4.80091251094606,-4.639149187097197,-4.787591667236174,-4.8701320455984005,-4.896418992096463,-4.974577403120093,-5.10747386949863,-4.974501501763196,-4.965179254231375,-5.005043715109315,-4.841864452484214,-4.812610647509099,-4.746680748999418,-4.6806147397848425,-4.676382093296172,-4.616375453352618,-4.826602806650882,-4.829952481888182,-5.0329568998699425
valine(118/55)A,-6.652268429590925,-6.715409450799759,-6.821948512088436,-6.778398313153552,-6.652680040161731,-6.565322787228035,-6.543692027849293,-6.633940720909642,-6.643856189774724,-6.722389592321414,-6.780358189679587,-6.859893116071349,-6.742771215847412,-6.807742274735697,-6.840656897208432,-6.701189364840676,-6.588714635582264,-6.53210783212227,-6.530474390356982,-6.5122121839642535,-6.386524143305114,-6.643856189774724,-6.61654884377899,-6.866248611111173
uracil(113/70),-13.102872704095853,-12.886888739490306,-12.883091496215943,-12.970097277533169,-13.244962732090112,-13.524318660105598,-13.031614020926032,-12.95210934776501,-12.017131164662308,-11.831334084889706,-11.928817958308139,-11.874084450525277,-12.450362717194007,-12.89998222626634,-13.163167281611146,-12.74308197286351,-13.050317794873754,-13.50810244797475,-13.363376649481522,-13.29988709349555,-11.581613441326658,-11.845569650108008,-12.172235162129514,-11.838234234941575
thymine(127/110),-16.236728450830643,-15.149351894063068,-15.310729032274422,-15.525982545389903,-14.988965876996252,-15.912001200476675,-14.997262516135255,-14.78278937675341,-13.653167849977732,-13.824828121030295,-13.972407226855822,-14.28545992781807,-13.480357457491845,-15.190101582923027,-15.278282966629519,-14.913378850848902,-14.890376882004064,-14.366783950540649,-14.233966807777923,-15.228333832470518,-14.104046212411147,-13.931568569324174,-14.071220559652685,-13.652709196328697
homocysteine(136/90)A,-12.347654920005732,-12.546100420526878,-12.5980525001616,-12.558673701154872,-12.726401146892938,-12.947737829244634,-13.566996137028319,-13.548758232289789,-12.59171856643955,-12.627787821147072,-12.910742921104125,-13.034264022544853,-12.137152702974069,-12.462486780653158,-13.063937404162882,-13.070683142980094,-13.269096701382102,-13.336955898569299,-13.793240412776202,-13.090480032111401,-13.231128851183081,-12.804770815768801,-12.548910126903627,-12.654494710221073
ornithine(133/70),-8.1990289840462,-8.298359623748958,-8.662660591212783,-8.678726649621778,-8.763678877470625,-8.690677046527718,-8.718403143139778,-8.572376801354785,-8.394336590415412,-8.06412220385538,-8.284961768533416,-8.052894948432126,-8.116609186909855,-8.384834846447554,-8.453578126376245,-8.768401287713028,-8.820835948750988,-9.0717749803503,-8.85924522337341,-8.92396410896746,-8.620872871773885,-8.424594185969836,-8.225387785095608,-8.153242915889148
ornithine(133/116),-8.499762856664438,-8.57212043617581,-8.808600952111357,-8.798253798360157,-8.944251123112446,-8.838234234941575,-8.822630512015415,-8.824123135438496,-8.662131248169297,-8.362301695970134,-8.568754734534005,-8.38835545662634,-8.402195434733498,-8.564335850131199,-8.658116882899895,-8.933603878912937,-8.853016354500138,-9.084772320879175,-9.01942224826416,-8.889058494019258,-8.90899825857051,-8.788141370058938,-8.516799453459905,-8.425973820333306
cytidine(244/112),-13.452457141886082,-12.259698003379853,-12.906807565189752,-12.619091949781383,-12.811613354534327,-13.053247125912426,-12.791943608157748,-12.733610842533054,-13.821144579630523,-13.886158109634227,-13.786637947348732,-13.321928094887362,-12.883322124470114,-12.155683985865666,-13.120417634151808,-12.720942995594262,-12.57917519370976,-12.95619823583289,-13.028192457891892,-12.510104800885898,-13.246193110111182,-13.467621469564383,-13.847139788163467,-13.844462345314778
cytidine(244/95),-16.26914992852302,-14.766365978124265,-14.930920021306559,-15.191913887630328,-15.22613105735974,-15.597567642136237,-14.908402584745131,-15.03233154625909,-15.821144579630523,-16.137051952595808,-16.736172880365743,-15.678903136873926,-15.21732305165805,-14.606637986275288,-16.0727722619167,-15.197317359855004,-15.13009021360324,-14.527846383273165,-16.92631284387268,-14.900831892758564,-16.100342243647727,-17.188150173919915,-15.437173278432047,-17.10357880146257
aminolevulinicacid(132/114)A,-13.74819284958946,-13.257015582326533,-14.628377037018398,-14.47079010598888,-14.987052901415739,-15.347447045042388,-17.152782799463342,-15.560730873955865,-16.23471318853212,-15.562642994899642,-14.887781772660814,-14.535162258477536,-13.868335944546269,-13.484513086983156,-14.349028730869874,-14.865199759708458,-16.269096701382104,-16.142308467715754,-15.582673426836543,-15.296930909578828,-15.753132068026344,-14.868335944546269,-14.734336221886126,-14.412708038091317
GMP(364/152),-11.118941072723507,-10.415817205297135,-10.653436703094002,-10.677844537065473,-11.21887350322145,-11.068787976808204,-11.573763438108216,-11.49680797827244,-11.60523337291403,-11.287712379549449,-10.721222538899772,-9.954557029238833,-11.418073179237503,-10.839251878733155,-10.603739872997128,-11.239707006638618,-11.522867752807807,-11.211609400463658,-11.371723992195042,-11.260689205782903,-11.914069248117931,-11.719428619974924,-11.146051230325858,-10.890208510055354
GMP(364/135),-12.30862136931243,-11.941473877255909,-12.080223965150653,-12.234860497283714,-12.56163510152598,-12.441063156456245,-12.777296832193347,-12.57150534555004,-13.00464022047911,-12.410196386074444,-12.217847572674877,-11.420433639839787,-12.709839303614613,-12.155683985865666,-11.975275733639386,-12.581443582606159,-12.698845424372378,-12.74339186332564,-12.808315634474228,-12.66683030457335,-13.308928865459146,-13.32807011716559,-12.47057643669926,-12.105714545806562
