Symbol,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL055W,10.057025628469868,9.744398320672447,9.794098129524778,9.90298351635576,10.064182143434612,9.953961854117287,10.122637373754646,9.746035330239659,9.879767254734576,9.553495777713255,9.697524139222143,9.741743319636388,9.909506996236667,9.62869939135055,9.735738992422627
YAL054C,9.357432086529872,9.05416046461337,9.363858684804539,9.156105778989057,9.289012152980115,9.401739733034034,9.49615115601973,9.17751988534757,9.246679501113299,8.917132091638019,9.208087978108624,9.023808153553965,8.956810161083151,8.933981938387682,8.75230355404825
YAL053W,9.245135677038908,9.075182747103984,9.48281628168953,9.247098835114523,9.260418344463158,9.377796616450247,9.247706613573618,9.079393485704447,9.260178486611505,9.12531691757299,9.140566342515378,9.059759032803768,9.008238584643186,8.92802027671435,8.88091531371195
YAL051W,9.693258098196734,9.806056859681052,9.998241987517732,9.681619215604796,9.582597914047087,9.751466339713229,9.345953833299747,9.5824125470805,9.655004631175952,9.816210159462765,10.043955590801366,9.84836248389568,9.862151096053434,9.58010609431798,9.772018436929086
YAL049C,9.620099876943272,9.919667761340518,9.875925989613167,9.745436724313604,9.628072072412941,9.655152269416867,9.538321761917585,9.594089681895285,9.681332817167391,9.633562342580325,9.641636446945926,9.866518816266291,9.991301237640526,9.893267094060382,9.957306283899946
YAL048C,8.943127538718914,9.511310026429681,9.31283963664549,9.445864139562216,9.299590393242346,9.151737152545024,9.086524202369175,9.19807035778888,9.33096757022814,9.307213719071479,9.174722146353016,9.380356791783683,9.564858089319253,9.533749937426427,9.789166201302947
YAL047W-A,10.023374492702406,10.195952600741819,10.134380536408548,10.070147312733873,9.879095209360246,9.87633998469946,9.85986175828249,9.81971926442812,9.9279260215636,9.78148377243037,9.860277138419917,10.101203298997499,10.185011227878505,10.203214831638867,10.15951183143531
YAL047C,9.892802248781525,9.843296762927329,9.999940615022831,9.997746806973176,9.779333092437524,9.794303129758076,9.744513918637292,9.797445463307394,9.665187796205995,9.83326484566466,10.000181499861474,10.020395934656296,10.019424888275886,9.843459925912532,9.85578898012828
YAL046C,10.122060907849736,9.933547926028409,10.199396190232779,10.154840831666972,9.967988456466237,10.145750118874787,9.780096807402911,9.876071352764622,9.855071292479407,9.798951448599768,10.074429088877302,10.19039182870267,10.152363942437772,9.871687726160621,9.85578898012828
YAL045C,10.068070478933869,9.96542490156047,10.261607797955788,10.21993763079944,9.994273700349275,10.126721286691543,9.6450983712035665,9.794074533356516,9.898878941587496,9.83326484566466,10.050102002435828,10.164943133104702,10.158699909315905,9.947318655409937,9.89652683107604
YAL044W-A,9.892802248781525,10.06756436786277,10.067916489644718,10.006455523543345,9.738450071660319,9.800320147438553,9.85986175828249,9.761076260182666,9.661123151381025,9.745900844247899,9.968080606153801,10.08578738134075,10.011045207946367,9.899373803118621,9.957306283899946
YAL044C,10.329045644040498,10.534809541567665,10.59177347186447,10.488998018968704,10.237400203434499,10.327561999933758,10.168111844004097,10.064133192170862,10.3053147034807,10.191709973958636,10.33824540647077,10.572771390499792,10.491461651887095,10.310218925662978,10.371397173660863
YAL043C,10.557822265282985,10.800209265110928,10.90809712810087,10.883442169057544,10.75436381408711,10.650931389719142,10.644197181423545,10.324608448262943,10.633512212392278,10.80680145219478,10.708361510705384,10.650796801446413,10.658148227279218,10.534739276010145,10.416235943126644
YAL042C-A,10.626672714605249,10.711691833033655,10.847122470567559,10.828023353550238,10.671272123466222,10.586236311110081,10.530403248841125,10.195990514860064,10.594614004011207,10.771845077847663,10.611937622773315,10.637641659268695,10.605316308631696,10.598059548098856,10.496326273646957
YAL042W,10.518102820635132,10.770873280364077,10.900842056823416,10.813209209592786,10.731107615124388,10.60698146513393,10.605051395066383,10.293114947575123,10.584991550514353,10.79814144277198,10.684852961863186,10.634996174795763,10.608096964915708,10.544513725654046,10.410280514460725
YAL041W,10.468949391092577,10.482265722429737,10.598515942723928,10.422227498474669,10.405153036060085,10.40067289267273,10.399251613059945,10.120844289176755,10.33623421611513,10.510743569530598,10.38762007723174,10.380853864899386,10.370031896771868,10.291766815132966,10.2698108365705
YAL040C,8.918929670621242,9.240629646703209,9.072492310375203,9.108362491353507,9.00001794108149,8.825731012524678,9.123930861594838,9.110442200138841,9.043094960656495,9.1796690194148,9.12899898237463,9.335437901811527,9.360167142076172,8.822710633245569,9.084823129495328
YAL039C,9.058379272268507,9.233166915112106,9.315570308041126,9.393710442207015,9.341144379972429,9.369726453163159,9.345953833299747,9.443011600301825,9.425055993008733,9.33142330948788,9.30379117334186,9.075454079312216,9.37548023968639,9.070134973627871,9.129007234171642
YAL038W,8.894319005775536,8.800111285786512,8.937192310932911,8.98159773488111,9.18635157818153,8.982129173130224,8.9885306793513209,9.094087916153317,8.969402682927614,8.884778438573404,9.057576736505524,9.158851397341284,9.260002693362749,8.891723508436565,8.78159821074185
