Symbol,T1,T2,T3,T4,T6,T8,T9,T10,T11,T12,T13,T14,T15,T16
YBR186W,8.568012808086058,9.28003190417471,8.811011488252792,8.600167306884117,7.174305403278173,8.679480099505446,8.828831947093509,8.674561837239475,8.84240236637838,9.100396268406046,8.679515457933293,8.682143777626637,9.017254609699027,8.829057758164774
YBR187W,8.956265829070768,9.00572462138396,9.349579468891054,9.039506044807728,8.811353481751967,9.076815597050832,9.179017879027935,9.217387614711948,9.14008064212717,9.455405650268837,9.294773764606576,9.77603263049253,9.05545173829157,9.399685237692697
YBR188C,9.898471636496355,9.914732219791064,10.077740624074407,9.863455593532608,10.048288522744661,10.227615943414223,10.255316668033117,10.159640279838218,10.231129696707528,10.044339941064552,10.111222159079608,10.05195568226083,9.972600481223763,9.966031485598494
YBR189W,9.386595763865646,9.576829095260706,9.783670392898498,9.406620826051272,9.838284525889739,9.884170519108435,9.884804566654378,9.942254157908385,9.934272000558659,9.834518822567512,9.915316373982595,9.9265483445822,9.543332835735756,9.703285540496758
YBR190W,10.415940010910056,10.655886453421099,10.160055080290398,10.481167513351563,10.734984671397918,10.610102062999664,10.660885898335252,10.685323643087004,10.575785846220802,10.478666507713811,10.441542198070723,10.373611942210555,10.61322128653212,10.451046125931866
YBR191W,10.336880822009585,10.674201813987558,10.197080664213416,10.477215886379538,10.892961671589546,10.591522346570734,10.655532665890306,10.869910072305238,10.505754458260975,10.56221900957421,10.376180425711981,10.216867997087588,10.54773533544191,10.403059492977771
YBR191W-A,10.497228070054593,10.545254303557313,10.299374894608768,10.559255364603041,10.946373341434516,10.65284497300198,10.738044453531774,11.017718589920568,10.62466393809069,10.578364152326202,10.454266571728095,10.226575016017721,10.643629098535792,10.438116355008107
YBR192W,10.583143548032277,10.254733410156506,10.640469492336939,10.82275338962025,11.130710175674833,10.846273911349906,10.950392415302778,11.144516295706712,10.769348216278301,10.568698764309039,10.511395143019566,10.187348802210192,10.633564205575613,10.530348756851431
YBR193C,10.264425820255287,10.310439091552743,10.256753552137132,10.270514842428813,10.165539023707524,10.234817431117325,10.200006613081893,10.173983084651805,10.135994520314384,10.223383158003998,10.228452094125952,9.722156507386632,10.349858875113526,10.243763410606268
YBR194W,9.622273318646084,9.31676550114094,9.755815381570487,9.551467817850916,9.689592433987041,9.684748620421626,9.747301137304692,9.58964485972103,9.625577408537804,9.614180722326429,9.707820701638955,9.383403099975252,9.616699004918178,9.494327645374845
YBR195C,11.52878783633491,11.406763172029882,11.319098442632871,11.623374450557586,10.985173179966743,11.274960472140602,11.282195960693645,11.409870326472744,11.377991673658629,11.185320819651785,11.413921389760912,11.292179503254903,11.544570164854212,11.404743665766532
YBR196C,9.60770438545555,9.44555844338495,9.165057811928156,10.054139636098844,9.295862477473644,9.759888183221834,9.830415473384967,10.197575368650904,10.259778466473264,9.657379548239328,9.911630440836301,9.562699711832105,10.170048577827332,9.853673706831707
YBR196C-A,9.254418338103338,8.591622353907466,8.788544579005448,9.04663457497395,8.867813489891057,9.147204924942228,9.193865627670402,9.407419247272907,9.258375760935861,9.269034823330674,9.248770301995473,8.564606173613617,8.937685605377615,9.269490633869994
YBR196C-B,9.302251163650736,8.706811872263367,8.936009201291174,9.092130760422473,8.867813489891057,9.207014320177532,9.302889410505918,9.501407238699674,9.377241827946055,9.35401746046247,9.322798387222301,8.594900437027999,9.047892789645468,9.345319602545253
YBR197C,11.454202334004313,11.629601192788352,11.48297649480927,11.303049701529044,11.574146499117049,11.259743263690781,11.235121811455546,11.168591362942564,11.142363798201075,11.23301455521969,11.169630333829694,11.591631913469131,11.144831125818017,11.262856090966954
YBR198C,10.690736126605355,10.743296693903831,10.717244862560792,10.663786115694474,10.750082746150557,10.685624839726355,10.679467317022578,10.651556091001908,10.652429665839843,10.59115142594964,10.701631554269799,10.499052201265215,10.690501226919238,10.550513090225872
YBR199W,10.262566991695339,10.374067407515456,10.30503915502718,10.354771468835217,10.574619582899379,10.405141463136344,10.292579609725387,10.248159076756199,10.16106339521,10.138816260127532,10.133545182962793,10.301965886859598,10.261119796572096,10.223811577640262
YBR200W,10.664228879553344,10.801848259447299,10.860298307876619,10.936491382980815,10.734984671397918,10.824958740528523,10.79271106170526,10.734537761264718,10.50139886196519,10.686587520585352,10.735384991685702,10.864956643099964,10.8511295016606,10.839844796363106
YBR200W-A,9.776121563235938,10.313038839681697,10.359402825166933,9.830794056482194,10.165539023707524,9.899356922923111,9.817690415748341,9.672795363910513,9.7297866420763,9.728552130353973,9.804404581127876,10.062833779971534,9.724942172959619,9.885771982062217
YBR201W,9.443490235807062,10.02983108453026,9.921320165976326,9.41490795597946,9.689592433987041,9.558420713268664,9.536326851770799,9.538830904310068,9.446848465035476,9.220480219238596,9.406368482780866,9.27531852475497,9.265557343784668,9.485975802097906
YBR201C-A,10.146412474966827,10.398753236550334,9.959172735672187,10.087356045433571,9.451746243907309,10.228818690495881,10.19263337243227,10.154827481925755,9.991295892105986,9.8873138649549,9.973045462293413,9.365942016591863,10.10233069608799,10.097933728136587
YBR202W,8.866107019896274,9.808195269356766,8.873339460736801,9.025142437457232,8.627366760769519,9.326429487122303,9.321036739553477,9.217387614711948,9.19505625246654,8.888836400023512,9.08824091295018,8.220500159461604,9.143198531961032,9.179129691771937
YBR203W,9.83734496094762,10.05800126548634,9.703593572754908,9.61758311518713,9.72058215689047,9.62935662007961,9.617493887736938,9.244822621745067,9.314074181035023,9.839886120611688,9.403746885973213,9.666190118491336,9.686514100276094,9.551474722168896
YBR204C,9.79681938975511,10.216364268588489,9.755815381570487,10.161463143724976,9.72058215689047,10.134426320220927,10.236317949940199,10.352728224810601,10.196521861433054,10.00187606299534,10.030253805902579,9.400655374820158,10.116853632179991,10.208664514346534
YBR205W,9.9525087112335,10.010740662119577,9.788530636940218,10.17616352674576,9.866268594078152,10.083479327331842,10.148855154931912,10.356925006074876,10.158299379449197,9.98743907157095,10.068825827986014,9.500048741636817,10.072838738862968,10.108853353035467
YBR206W,9.938606044223945,10.010740662119577,9.76899064066455,10.185881219473842,9.893720165615346,10.07815080773465,10.170284821488409,10.36528212007571,10.16106339521,9.997079766893807,10.060527889561845,9.51596839091616,10.091341741068085,10.130447738633668
YBR207W,9.642425776051335,10.076480368701269,9.83937929559147,9.977881719444088,10.096338137940073,10.108524456778168,10.040767248223284,10.140291999452396,10.04615130000051,9.823723948144648,9.833916151366948,9.237412759290876,10.091341741068085,10.09244276486663
