Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
glucose-6-phosphate,20.61724055558913,19.993639841299476,19.77510279043251,19.093380595541664,20.10348119650746,20.289454583687373,20.200335501013814,19.41659207250865,19.926431615609914,19.863914017341138,20.073715772994206,20.357298555433925,20.605337839200654,20.03974974929772,19.903151728829428,19.61596902174259,19.35743530897089,19.699375326260654,20.187838534717333,20.001415983312235,20.23981798271447,19.80684432168715,19.74338536680014,20.053416460958623
cystathionine,15.059978120428285,14.649424601882625,13.94388836987587,12.871263555025788,13.611216959360048,14.18997894863252,13.994795371321155,15.056722377830921,15.369858581648295,15.001188254604154,15.274171858928316,15.316811836858196,15.03597322432608,14.229119220658594,13.64805792575334,14.006501407569434,13.569262272916092,14.34720610494112,14.508991435215219,15.033007088417065,15.691643570844164,14.737634657890883,15.003269008761524,15.16052800869429
glycine,15.947857586458495,15.959186926844888,15.185972336591636,16.350858630665744,15.909518114296615,15.772744128987052,15.988462798548149,16.331301862783878,16.930032724586297,15.296999826485646,15.609380765954986,15.805785849399419,15.566866673384627,16.052193007763123,15.857648979012788,15.47718906864732,15.543797122312045,16.07662077553893,15.305491792110685,16.54959417278775,16.525490222461457,16.421396453622698,15.98567890135489,16.173755202104736
arginine,18.15705246298195,17.921707304975854,17.413553557976012,16.858414120796326,17.014565389393795,17.572196900522613,16.867962403304123,18.24024009400928,17.75328640253037,18.171359260550723,18.65905865549101,17.82798768371531,17.962336861704504,17.166575020618208,16.994567055418873,17.265041155387646,16.71513529875807,16.970090907410405,18.01655441276009,17.470574146705314,18.34838525675002,17.600917107652826,17.376922369378857,17.432963212121834
pyruvate,17.728206190042123,16.8750653679814,16.675125472651672,16.531325611865483,16.90289323086469,16.93357540438771,17.090332998372904,17.73976523008406,17.947726342706485,17.445432531340153,17.255999779496786,17.717118563095696,17.71164905088493,17.33040632333748,17.051570079377097,16.84737957334864,16.7446630538307,16.97596735193179,16.914093106358262,17.77937524132466,17.914741323598538,17.603795352620804,17.1735274983759,17.8407963603175
proline,19.4211704172365,19.07887136012164,18.921836095547892,19.25851542826563,19.545230341809113,19.613336848993846,19.42765931039326,19.760232643777837,20.045245067817238,19.449452292296954,19.358725595377415,19.63919937188593,19.38766607353426,19.377257845445087,19.333730438094108,19.12761991355539,19.287126165606317,19.49036191155115,19.453211008200764,20.02737194409953,19.976345491266887,19.55847427719089,19.259732538068388,19.693562957981904
fumarate,16.53506269953029,16.38838733222664,16.558804336546277,17.459266172264133,16.57972104934062,16.545592980308285,16.54126302401374,17.228345854879098,16.387209580719638,16.244549660827698,16.964799609902244,16.90394851362344,16.46873009458349,16.556483602196405,17.0210522569826,16.35624562036216,16.738615683605726,17.237791916627515,17.657392890129323,17.225756604095494,16.630646332557113,16.783842331538256,16.671854309523397,16.638803555261738
glucose,16.11504365016171,15.43064855669822,15.305622413464588,15.522918627437125,15.567555073069798,15.958764150214984,15.9205544563477,16.741624983193343,15.56652978262417,15.152443301864201,15.809315959830391,16.09624845390132,15.366788919815008,15.446695630709836,15.513049014474133,15.4361476081142,15.343729353921546,15.679764138782652,16.67221813858152,16.103745408975144,15.964551456052455,15.345174204800532,15.484350895705893,15.76295976821667
homoserine,17.254536568640518,17.051373588778933,16.933863513537993,16.396897397591683,16.825902863929254,16.314713045114694,16.513156991970494,17.45397523782789,17.424877048763637,16.881894635518183,17.520899981936584,17.24670349166201,17.14519912551666,16.75605457561059,16.10757808567184,16.001694065999935,16.45088904574306,15.854722314677986,16.69747893325873,17.192957364635035,17.53323339528594,17.1294775637052,16.91728660186362,16.863293820889886
thiaminediphosphate,17.774135009546022,18.15850367920929,18.178107187455844,18.07636503237255,17.882222114348505,18.187266683893206,18.06412347803739,18.69165720056924,17.90329150444936,17.94055639672831,18.20527461767024,18.082201028678284,18.119152220622013,17.876866626635348,18.08086089051084,18.5077146465192,17.53844914589986,18.255402071161814,18.095930942585067,18.338763943449027,18.45922080462143,18.082670562632945,18.032635892275334,18.148377274311027
ornithine,16.989187507104567,16.334264554796647,16.111060935565412,16.37446784395753,16.130490124844886,16.09254381458387,16.269729381140642,17.097102812969077,17.23372888827525,16.389709754209864,16.78243091983239,17.16250606733705,16.681064507634613,17.033197132564222,16.135502217790034,15.728292564047242,15.412713174207378,16.173982869900264,15.695472998111766,16.955736925469704,17.185882027446677,17.205968205772507,17.099823780692827,17.404129816717315
UDPandG1P,18.552616568338905,18.918611421327583,18.98677718323255,18.39501804584243,18.77316657902218,18.794769101290978,18.902096353698653,18.764597345517405,18.885985269447954,18.377252902153565,18.672494403155557,19.00046221531459,18.820833382980087,18.936646564784187,18.803896713821672,18.686856123441007,18.517921798730015,18.636573881024386,18.708120671014683,18.97223005678932,18.990156605484383,18.487015661309492,18.697886118936456,19.09581765136379
ribose-5-phosphate,17.171733888808365,17.2408192766558,17.10566983975286,16.87476527291122,16.87147213318895,16.963505733157874,17.06100898258189,17.21191997226176,17.278833578841656,16.63438566463395,17.15471264503357,17.675754929780542,17.34149276276708,17.001149761693604,17.27820743996139,16.92872269323845,16.82353724962229,16.729213565148147,17.300403209170867,17.561260594010996,17.083340813094214,16.821026536116243,16.889254398173854,17.21157639863488
isoleucine,18.814157887483706,19.084996485921117,18.923683410292313,19.23618707915056,19.444442690002354,19.498768715296457,19.512741748572378,19.333729710279773,19.170731132763194,18.6465950376973,18.627544571274242,18.844899833327926,18.9536214705449,19.281955677053407,19.36830751338575,19.202814943259632,19.127205937547686,19.53714381446465,19.504771797883354,19.52505238019377,19.150402629791415,18.906527567176465,18.50562679187522,18.818825551827345
valine,21.00198949876083,20.757536099194873,20.728215879691238,20.80959387207199,21.21311153900405,21.35175001364709,21.362597749216967,21.27131141695333,21.29678666157972,20.78015418905548,20.450969904510238,21.265700690836734,21.017803635705416,20.99089707883802,21.008278151110947,20.800549479605472,21.127238060626873,21.355869923355375,20.99175756311106,21.4681505265548,21.295729331257256,21.050591122609067,20.825182922246892,21.257443091904374
leucine,18.411324780153087,18.24403858252773,17.922640534301607,18.548964858682865,18.459013963465598,18.503688595133337,18.433213222847417,19.12446802006557,18.89991250058283,18.501080400685172,18.77877658694081,18.853692314330722,18.353245917762013,18.207614936647698,18.25597827243798,18.20380520968636,18.16754391878912,18.535288034982845,18.97383093884425,19.00681092090023,18.985839158140948,18.775173003008117,18.41461642430658,18.727127186652478
