Symbol,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
YAL063C-A,8.538920719985375,8.459245011797897,8.568721690676142,8.563148803804403,8.446379636476319,8.773566121954856,8.437317608825776,8.744960862993969,8.678713295372441,8.651751830767347,8.535897204601294,8.514161471461293,8.601691048774052,8.61657120577225,8.500693665671491,8.471895992849593
YAL063C,6.7118398058086655,6.181245434941672,6.26678877174823,6.5220026206036765,6.343253540665935,6.727362460558304,6.538946690730336,6.45731742275218,6.607074912178083,6.730810539316551,6.242738242701131,6.923881641537973,6.596408270736044,6.640139132777028,6.481235700444357,6.626888840652229
YAL062W,8.121513115889583,8.186845298231189,8.342019921578975,8.311235820428221,8.153181031254075,8.341068436861859,7.992424400509612,8.01376625711562,8.11765933609067,8.145210728228758,8.088009351024821,8.467207239244555,8.421249197245338,8.101754028341011,8.03394065462454,8.119912602556349
YAL061W,10.325044018094571,10.46040139105792,10.421644554802164,10.373554666377984,10.246617174836125,10.416287398167722,10.145563556317779,10.176392382574088,10.181564641823122,10.196440453043774,10.278237841177145,10.551951234398521,10.598903077162895,10.462619680300296,10.215148731751675,10.452150812620062
YAL060W,10.04858457377442,10.226862615275758,10.217980662737144,10.045708001031041,10.007663146117068,10.14791376931169,10.116877860777498,10.140504238345617,10.126921996527877,10.158998103388209,10.245567433727539,10.394149906136994,10.37231969841095,10.249225021814773,10.069883107895373,10.022187386426577
YAL059C-A,9.361789086151008,9.4228919580886,9.265607286349049,9.36969433718577,9.634618746553574,9.69909657151892,9.557684643906294,9.553150640716161,9.60351501792259,9.464078032278675,9.34255109878265,9.430618410644128,9.329482073547881,9.420527630568014,9.33293401766852,9.341066732555344
YAL059W,9.569602698769229,9.60219539645308,9.58034941661594,9.477869190473037,9.654493441411969,9.856018449215766,9.829268315606507,9.798057850672963,9.829673557625595,9.84755982863358,9.770491671694547,9.962640832574488,9.740649987917774,9.579234016319042,9.510398082201695,9.44114487697411
YAL058W,9.353486492916591,9.411274276521185,9.259504115677533,9.353079370559952,9.627323158858543,9.691791333993345,9.552338525993482,9.547071430860552,9.594066889325259,9.456975401732437,9.330918756905085,9.413028550815705,9.319536499941204,9.409544743487299,9.328535679754546,9.33066623611675
YAL056C-A,9.533309284967856,9.476833250317954,9.465743060629611,9.465555755493297,9.471046719840482,9.33180984477744,9.399953763918981,9.323476916511117,9.289093928435088,9.250657761827025,9.354090399643082,9.388036790532878,9.529673577459091,9.413215003696479,9.463028859928572,9.672879086748043
YAL056W,9.659902652909901,9.617442613984775,9.609433587666189,9.5756340889029,9.584642119784297,9.547488681371858,9.519838987931736,9.503784221089926,9.41247929419877,9.442664369632848,9.547417525117773,9.583111681139057,9.70034008911445,9.624263874435531,9.622433133096294,9.825117109395077
YAL055W,8.908341550468482,9.01048118722021,9.190607831534544,9.167891996156444,9.06683467901394,9.252103046816949,9.188786808912182,9.27280424062666,9.390816299614205,9.304409157461784,9.028878607126716,8.973716861793912,8.618012610472642,8.64181836942118,8.828070128547774,8.923313815077764
YAL054C,10.367923540218976,10.423287358346075,10.468034444688465,10.34190658396734,10.246617174836125,10.328336408029699,10.12049492020099,10.093308417103867,10.01100624498972,9.90087630555645,10.188700981063816,10.328110968142482,10.471462043862182,10.516504719298165,10.176514192595656,10.42551997616604
YAL053W,10.328225126276438,10.299559749428806,10.415482223585132,10.385041674353733,10.25965190543316,10.327158171370362,10.152646737629373,10.160552207417576,10.070127988420616,10.013281471170204,10.127260780270845,10.27846316887293,10.43507737487782,10.444799103321314,10.095995504159717,10.324312930067096
YAL051W,9.091725265360594,9.170651369689246,9.154885262598606,9.227445199055971,9.127561174735607,9.254584237918591,9.202503432686296,9.125554862658168,9.189095555212804,9.239662917399592,9.085355903851559,9.191578450539744,9.194513219050625,9.048105321097374,9.115298233012458,9.08674136583423
YAL049C,9.592713064887484,9.619968223672192,9.471034741293522,9.45625121608256,9.57898076702658,9.45558652751112,9.441032422369846,9.577214508265943,9.553207390087037,9.485178498834017,9.446822529381022,9.508878931326713,9.381397330639269,9.7132948419679,9.657924755634875,9.668756265450737
YAL048C,9.345135842229706,9.267260835495925,9.234829920706952,9.156446821845213,9.37848027895786,9.16245831316019,9.11817652046031,9.29110661500801,9.277335663015602,9.220217980206428,9.187788614204573,9.043969537096267,9.100842304219785,9.452983369336538,9.376195262025181,9.371825782000084
