ID,Symbol,GeneTitle,Loading,p value
YIL099W,SGA1,Sporulation-specific GlycoAmylase,0.0259298504504998,0.02293
YIL087C,AIM19,Altered Inheritance rate of Mitochondria,0.0258907526256217,0.03083
YLR438W,CAR2,Catabolism of ARginine,0.0258241201360174,0.13952
YOR100C,CRC1,CaRnitine Carrier,0.0257408319337309,0.33893
YGR142W,BTN2,BaTteN disease,0.025737299320976,0.26961
YDL022W,GPD1,Glycerol-3-Phosphate Dehydrogenase,0.0257308158333201,0.08479
YPL200W,CSM4,Chromosome Segregation in Meiosis,0.0256766591090928,0.13642
YOR185C,GSP2,Genetic Suppressor of Prp20-1,0.0256560972954668,0.04843
YGR205W,TDA10,Topoisomerase I Damage Affected,0.0255904103691458,0.08822
YBR056W,MRX18,Mitochondrial oRganization of gene eXpression (MIOREX),0.0255626756552772,0.04263
YJR094C,IME1,Inducer of MEiosis,0.0255581364910175,0.14824
YNL036W,NCE103,NonClassical Export,0.0254815058001862,0.05751
YPL203W,TPK2,Takashi's Protein Kinase,0.0254060536653463,0.03289
YNL270C,ALP1,NA,0.025315455631238,0.12807
YMR304W,UBP15,UBiquitin-specific Protease,0.0252866414154839,0.0447
YGL080W,MPC1,Mitochondrial Pyruvate Carrier,0.0252249402339103,0.06493
YOR383C,FIT3,Facilitator of Iron Transport,0.0250875103175292,0.11077
YLR108C,NA,NA,0.0250524647930517,0.08526
YOL154W,ZPS1,Zinc- and pH-regulated Surface protein,0.0250010038833775,0.08825
YMR103C,NA,NA,0.0249394219915414,0.07972
YBR045C,GIP1,Glc7-Interacting Protein,0.0248486183891952,0.13937
YPL054W,LEE1,NA,0.0248397583523048,0.0718
YLR270W,DCS1,DeCapping Scavenger,0.0248169466397722,0.025
YBR139W,ATG42,AuTophaGy,0.0247991449758291,0.03001
YLL026W,HSP104,Heat Shock Protein,0.0247660426118591,0.15444
YDL215C,GDH2,Glutamate DeHydrogenase,0.0246894554779551,0.0269
YHR140W,NA,NA,0.0246778956203153,0.04052
YMR325W,PAU19,seriPAUperin,0.0246662197241454,0.11313
YPL222W,FMP40,Found in Mitochondrial Proteome,0.0245466701305885,0.06055
YDL078C,MDH3,Malate DeHydrogenase,0.0245214905193904,0.03171
YOR328W,PDR10,Pleiotropic Drug Resistance,0.0245208561834298,0.25499
