Symbol,T1,T3,T4,T8,T9,T10,T11,T12,T13,T15,T16
YAL043C,12.075335994962767,11.762758466224216,12.220859145180153,12.112961478979154,12.036176047146693,12.092657828371287,12.263903703712906,11.954060971318592,12.116717608448393,12.318135131456854,12.097041652431695
YAL042C-A,8.106679914652476,8.184569278863092,8.529586019618993,8.44774680663139,8.482448376196242,8.276646604548603,8.964860092811488,8.19876640744454,8.879546585377176,8.659768919618902,8.592996022889771
YAL042W,11.105110889884571,10.769085908296342,11.157024724607911,10.865076816273554,10.968015972430097,10.71725622969168,11.32166988991993,10.905326596360478,11.089466025081878,11.0824332280892,10.972022522208311
YAL041W,12.35725447141078,12.390403443718235,12.328150504336586,12.255668621697453,12.201365101129738,12.198533574576738,12.235287703016871,12.337717414011117,12.27989451805154,12.375916612961591,12.31687898815289
YAL040C,11.647357823643237,11.466992850900533,11.587345781195243,11.858133184077467,11.789792042511754,11.81879242061939,11.723528548778326,11.704653311042362,11.606295422672453,11.6529094784906,11.732057862632812
YAL039C,8.546297521232798,8.139638801914693,8.232400395756917,8.550838801986117,8.568487985406184,8.495770290659973,8.843124302330056,8.472091276720295,8.440067552515238,8.195463631231998,8.360988945260234
YAL038W,12.102771711397343,11.49624721158209,12.112166852641762,11.606189767406775,11.672379926216003,11.6673544620998,11.928644168730456,11.449337491279023,11.595380261834656,11.954410078700176,11.666287179959806
YAL037C-B,11.567193458633007,10.790317242374785,11.485949929035066,11.016155885129487,11.105192329470873,10.985726077043758,11.372669417753134,10.829072266217285,11.090284664414341,11.367098799644616,11.076993307585923
YAL037C-A,6.308365958342019,6.694790262117153,6.703088923066488,6.4843356557237275,6.474377612178373,6.4443007538815396,6.273784115460731,7.300327049361625,6.625095664199126,7.041867511506677,7.329068729692012
YAL037W,10.74645512987795,10.657973225229465,11.015231640183012,11.159191936991828,11.053911847039902,11.118602280282484,10.975625638052774,10.928194985401303,10.813238171775591,10.962840548625186,10.995374977313862
YAL036C,10.224306811364645,10.178626077048703,10.68575143367973,10.764716802783331,10.588280803626894,10.72728065747151,10.53484909035722,10.307880463512769,10.257630262711967,10.460306196590338,10.440845932720553
YAL035W,13.045104321037984,12.846903892064045,12.992045840341602,12.766980139528908,12.745143287628526,12.80524710560418,12.783388386248921,12.735741302433588,12.78306920242531,12.820783563710801,12.822767872402546
YAL034C-B,7.84308606713574,8.040468484223677,8.00982530198026,8.152295858397844,8.378011253696226,8.039788030922594,8.351885725836372,8.058407394841277,8.282807947906843,8.110872973255692,7.898705297838118
YAL034W-A,10.385228810431453,10.341237599504215,10.027861346349782,10.142151700005334,10.164793043483401,10.164220872014205,10.303122760155835,10.338553299824765,10.20266711658425,10.077536859360096,10.160048974216156
YAL034C,11.592502621982911,11.437597078137205,11.492115791887926,11.39274648727212,11.281138623833439,11.365357894294847,11.487728672806732,11.382833271573098,11.44221110751526,11.529344456919741,11.408062218356376
YAL033W,8.280479564367573,8.03065822958751,8.312629984589746,8.34556800560933,8.399512261963906,8.220976996448103,8.291108304718472,8.770889590297674,8.355430387380649,8.98692909268697,8.710539451589204
YAL032C,10.82298853977474,10.528898368006374,10.729205748786288,10.760586566132918,10.605034859531123,10.609374895393811,10.775707573831411,10.719723530639646,10.74313682345946,10.956794541011753,10.64289904805724
YAL031W-A,8.604326051854397,8.020780808719357,8.475841600320626,8.543164981928623,8.148380716933655,7.951326800021158,8.361770949386473,8.444156560270143,8.10628525958521,8.181705152683222,8.53042630935731
YAL031C,11.65835690079815,11.714935612529962,11.7825937594212,11.7169139763782,11.684691933104975,11.677730428245694,11.708113399932666,11.580231621707792,11.544914996740705,11.58528229429897,11.603086083788208
YAL030W,8.46092471209974,8.690551205657115,8.562773154745456,8.692855911444449,8.59108935822599,8.713114938368054,8.622430559894918,8.940447574542548,8.79369497874113,8.679483640639388,8.779420160710963
YAL029C,12.69432006734992,12.713954958093776,12.728568191812334,12.777647056567533,12.837438939827091,12.785394162388538,12.85468705200343,12.655788784121475,12.743806688911434,12.602579336376127,12.603804109263786
